condition,t,x,y,z,outside_obs1,outside_obs2,outside_obs3,safe
deterministic_wind,0.0009,-0.0,-1.5,0.2,1,1,1,1
deterministic_wind,0.7789,-0.239857,-1.261111,0.2,1,1,1,1
deterministic_wind,1.4809,-0.420912,-1.022222,0.2,1,1,1,1
deterministic_wind,2.0838,-0.498782,-0.783333,0.2,1,1,1,1
deterministic_wind,2.6703,-0.454376,-0.544444,0.2,1,1,1,1
deterministic_wind,3.341,-0.298579,-0.305556,0.2,1,1,1,1
deterministic_wind,4.1031,-0.069587,-0.066667,0.2,1,1,1,1
deterministic_wind,4.8892,0.176465,0.172222,0.2,1,1,1,1
deterministic_wind,5.6161,0.379257,0.411111,0.2,1,1,1,1
deterministic_wind,6.2421,0.489074,0.65,0.2,1,1,1,1
