condition,t,x,y,z,outside_obs1,outside_obs2,outside_obs3,safe
pdstl,3.0272,0.0,-1.5,0.2,1,1,1,1
pdstl,3.7304,-0.297894,-1.471418,0.2,1,1,1,1
pdstl,4.6006,-0.580782,-1.211003,0.2,1,1,1,1
pdstl,5.2944,-0.70478,-0.941606,0.2,1,1,1,1
pdstl,6.0956,-0.476219,-0.676222,0.2,1,1,1,1
pdstl,7.0038,-0.184165,-0.397839,0.2,1,1,1,1
pdstl,7.954,0.116301,-0.097373,0.2,1,1,1,1
pdstl,8.6712,0.197937,0.200023,0.2,1,1,1,1
pdstl,9.4912,0.428265,0.47636,0.2,1,1,1,1
pdstl,9.687,0.414394,0.522078,0.2,1,1,1,1
pdstl,10.2774,0.205445,0.394168,0.2,1,1,1,1
