condition,t,x,y,z,outside_obs1,outside_obs2,outside_obs3,safe
pdstl_wind,0.0008,0.0,-1.5,0.2,1,1,1,1
pdstl_wind,0.7481,-0.216549,-1.259833,0.2,1,1,1,1
pdstl_wind,1.4228,-0.379066,-1.023143,0.2,1,1,1,1
pdstl_wind,1.9971,-0.446258,-0.795889,0.2,1,1,1,1
pdstl_wind,2.535,-0.395331,-0.583166,0.2,1,1,1,1
pdstl_wind,3.1472,-0.233426,-0.385135,0.2,1,1,1,1
pdstl_wind,3.8728,0.002609,-0.180403,0.2,1,1,1,1
pdstl_wind,4.7009,0.244408,0.091364,0.2,1,1,1,1
pdstl_wind,5.4352,0.389425,0.37331,0.2,1,1,1,1
pdstl_wind,6.124,0.489,0.65,0.2,1,1,1,1
